,Date,Players,Game,Scores,Winner,Version,MA_score,MA_winner,MA_played,C_score,C_winner,C_played,M_score,M_winner,M_played,WO_score,WO_winner,WO_played,DA_score,DA_winner,DA_played,PA_score,PA_winner,PA_played,G_score,G_winner,G_played,I_score,I_winner,I_played,E_score,E_winner,E_played,IR_score,IR_winner,IR_played,EV_score,EV_winner,EV_played,has_score,has_winner,Nr_players
29,2018-12-22,I+M,Rozenkoning,I150+M139,I,Normal,0,0,0,0,0,0,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,1,1,0,0,0,0,0,0,0,0,0,1,1,2
30,2018-12-22,I+M,Qwixx,I65+M61,I,Normal,0,0,0,0,0,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,0,0,0,0,0,0,0,0,0,1,1,2
31,2018-12-24,I+M,KeyForge,I2+M3,M,Normal,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2
32,2018-12-24,I+M,Mind,LVL12,I+M,Normal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
33,2018-12-08,M+C,Discover Lands Unknown,,M+C,Badlands,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
34,2018-12-24,I+M,Mind,LVL1,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
35,2018-12-24,I+M,Mind,LVL1,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
36,2018-12-24,I+M,Santorini,M1+I0,M,Normal,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
37,2018-12-24,I+M,Santorini,M1+I0,M,Normal,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
38,2018-12-25,I+M,Claim,I4+M0,I,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,2
39,2018-12-25,I+M,Claim,I2+M2,I+M,Normal,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2
40,2018-12-25,I+M,Kingdomino ,I31+M31,I,5x5,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,0,0,0,0,0,0,0,1,1,2
41,2018-12-25,I+M,Kingdomino ,I48+M23,I,5x5,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,1,1,0,0,0,0,0,0,0,0,0,1,1,2
42,2018-12-26,I+M,Claim,I3+M2,I,Normal,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
43,2018-12-26,I+M,Claim,I2+M3,M,Normal,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2
44,2018-12-26,I+M,Claim,I1+M4,M,Normal,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2
45,2018-12-26,I+M,Kingdomino ,I120+M89,I,7x7,0,0,0,0,0,0,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,1,1,0,0,0,0,0,0,0,0,0,1,1,2
46,2018-12-30,M+C,Kingdomino ,M29+C29,M,5x5,0,0,0,29,0,1,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
47,2018-12-30,M+C,Kingdomino ,M113+C100,M,7x7,0,0,0,100,0,1,113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
48,2018-12-30,M+C,Claim,M2+C3,C,Normal,0,0,0,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
49,2018-12-30,M+C,Jaipur,M67+C81,C,Normal,0,0,0,81,1,1,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
50,2018-12-30,M+C,Jaipur,M48+C53,C,Normal,0,0,0,53,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
51,2018-12-31,I+M,Qwixx,I84+M54,I,Colors,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,1,1,0,0,0,0,0,0,0,0,0,1,1,2
52,2018-12-31,I+M,Qwixx,I81+M64,I,Random,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,1,1,0,0,0,0,0,0,0,0,0,1,1,2
53,2018-12-31,I+M+MA+PA+WO+EV,Verboden Eiland,,I+M+MA+PA+WO+EV,Beginner,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,6
54,2018-12-31,M+PA+EV+WO,Mind,LVL2,,Normal,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
55,2018-12-31,M+PA+EV+WO,Mind,LVL3,,Normal,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
56,2018-12-31,M+PA+EV+WO,Mind,LVL5,,Normal,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
57,2018-12-31,M+PA+EV+WO,Mind,LVL10,M+PA+EV+WO,Normal,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4
58,2018-12-31,EV+PA+MA+WO,Qwixx,EV75+PA66+MA71+WO64,EV,Normal,71,0,1,0,0,0,0,0,0,64,0,1,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,1,1,1,1,4
59,2018-12-31,EV+PA+MA+WO,Qwixx,EV96+PA54+MA54+WO92,EV,Normal,54,0,1,0,0,0,0,0,0,92,0,1,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,1,1,1,1,4
60,2018-12-31,EV+PA+MA+WO,Qwixx,EV35+PA42+MA62+WO22,MA,Normal,62,1,1,0,0,0,0,0,0,22,0,1,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,1,1,4
61,2019-01-02,I+M,7 Wonders Duel,I79+M52,I,Normal,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,1,1,0,0,0,0,0,0,0,0,0,1,1,2
